Creation_Date,Name,entry_force,directive,Product_name,Product_code,MRL,ApplicationDate,Footnotes_MRL,ApplicationDate2,NewMRL,Footnotes_sub
06/10/2016 08:47,Famoxadone (F),,,,,,,,,,
06/10/2016 08:47,,18/05/2015,,,,,,,,,
06/10/2016 08:47,,,Reg. (EU) No 1146/2014,,,,,,,,
06/10/2016 08:47,,,,"FRUITS, FRESH or FROZEN; TREE NUTS",100000,,18/05/2015,,,,
06/10/2016 08:47,,,,Citrus fruits,110000,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,"Grapefruits (Natsudaidais, Shaddocks/pomelos, Sweeties/oroblancos, Tangelolos, Tangelos (except minneolas)/Ugli?, Other hybrids of Citrus paradisi, not elsewhere mentioned,)",110010,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,"Oranges (Bergamots, Bitter oranges/sour oranges, Blood oranges, Cara caras, Chinottos, Trifoliate oranges, Other hybrids of Citrus sinensis, not elsewhere mentioned,)",110020,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,"Lemons (Buddha's hands/Buddha's fingers, Citrons,)",110030,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,"Limes (Indian sweet limes/Palestine sweet limes, Kaffir limes, Sweet limes/mosambis, Tahiti limes,)",110040,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,"Mandarins (Calamondins, Clementines, Cleopatra mandarins, Minneolas, Satsumas, Tangerines/dancy mandarins, Tangors, Other hybrids of Citrus reticulata, not elsewhere mentioned,)",110050,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,Others,110990,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,Tree nuts,120000,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,"Almonds (Apricot kernels, Bitter almonds, Canarium nuts/galip nuts, Pili nuts,)",120010,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,Brazil nuts,120020,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,Cashew nuts,120030,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,Chestnuts,120040,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,"Coconuts (Areca nuts/betel nuts,)",120050,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,"Hazelnuts/cobnuts (Acorns, Filberts,)",120060,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,Macadamias,120070,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,"Pecans (Hickory nuts,)",120080,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,"Pine nut kernels (Pine nut kernels from other species than Pinus pinea, Pine nut kernels from other species than Pinus pinea, Pine nut kernels from other species than Pinus pinea, Pine nut kernels from other species than Pinus pinea, Pine nut kernels from other species than Pinus pinea, Pine nut kernels from other species than Pinus pinea, Pine nut kernels from other species than Pinus pinea, Other species of genus Pinus, not elsewhere mentioned,)",120090,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,Pistachios,120100,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,Walnuts,120110,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,Others,120990,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,Pome fruits,130000,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,"Apples (Crab apples/wild apples, Tejocotes,)",130010,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,"Pears (Nashi pears/Oriental pears, Wild pears, Ya pears/Chinese white pears,)",130020,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,"Quinces (Chinese quinces, Japanese quinces,)",130030,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,Medlars,130040,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,Loquats/Japanese medlars,130050,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,Others,130990,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,Stone fruits,140000,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,"Apricots (Japanese apricots/Umes, Nectacots,)",140010,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,"Cherries (sweet) (Black cherries, Capulins, Chokecherries, Cornelian cherries/European corniols, Nanking cherries, Sour cherries/morello cherries,)",140020,0.01*,18/05/2015,,,,
06/10/2016 08:47,,,,"Peaches (Flat peaches/saturn peaches/paraguayas, Nectarines, Other hybrids of Persica vulgaris; syn: Prunus persica, not elsewhere mentioned,)",140030,0.01*,18/05/2015,,,,
