Creation_Date,Name,entry_force,directive,Product_name,Product_code,MRL,ApplicationDate,Footnotes_MRL,ApplicationDate2,NewMRL,Footnotes_sub
06/10/2016 08:48,Garlic extract (++),,,,,,,,,,
06/10/2016 08:48,,01/09/2008,,,,,,,,,
06/10/2016 08:48,,,Reg. (EC) No 839/2008,,,,,,,,
06/10/2016 08:48,,,,"FRUITS, FRESH or FROZEN; TREE NUTS",100000,,01/09/2008,,,,
06/10/2016 08:48,,,,Citrus fruits,110000,,01/09/2008,,,,
06/10/2016 08:48,,,,"Grapefruits (Natsudaidais, Shaddocks/pomelos, Sweeties/oroblancos, Tangelolos, Tangelos (except minneolas)/Ugli?, Other hybrids of Citrus paradisi, not elsewhere mentioned,)",110010,,01/09/2008,,,,
06/10/2016 08:48,,,,"Oranges (Bergamots, Bitter oranges/sour oranges, Blood oranges, Cara caras, Chinottos, Trifoliate oranges, Other hybrids of Citrus sinensis, not elsewhere mentioned,)",110020,,01/09/2008,,,,
06/10/2016 08:48,,,,"Lemons (Buddha's hands/Buddha's fingers, Citrons,)",110030,,01/09/2008,,,,
06/10/2016 08:48,,,,"Limes (Indian sweet limes/Palestine sweet limes, Kaffir limes, Sweet limes/mosambis, Tahiti limes,)",110040,,01/09/2008,,,,
06/10/2016 08:48,,,,"Mandarins (Calamondins, Clementines, Cleopatra mandarins, Minneolas, Satsumas, Tangerines/dancy mandarins, Tangors, Other hybrids of Citrus reticulata, not elsewhere mentioned,)",110050,,01/09/2008,,,,
06/10/2016 08:48,,,,Others,110990,,01/09/2008,,,,
06/10/2016 08:48,,,,Tree nuts,120000,,01/09/2008,,,,
06/10/2016 08:48,,,,"Almonds (Apricot kernels, Bitter almonds, Canarium nuts/galip nuts, Pili nuts,)",120010,,01/09/2008,,,,
06/10/2016 08:48,,,,Brazil nuts,120020,,01/09/2008,,,,
06/10/2016 08:48,,,,Cashew nuts,120030,,01/09/2008,,,,
06/10/2016 08:48,,,,Chestnuts,120040,,01/09/2008,,,,
06/10/2016 08:48,,,,"Coconuts (Areca nuts/betel nuts,)",120050,,01/09/2008,,,,
06/10/2016 08:48,,,,"Hazelnuts/cobnuts (Acorns, Filberts,)",120060,,01/09/2008,,,,
06/10/2016 08:48,,,,Macadamias,120070,,01/09/2008,,,,
06/10/2016 08:48,,,,"Pecans (Hickory nuts,)",120080,,01/09/2008,,,,
06/10/2016 08:48,,,,"Pine nut kernels (Pine nut kernels from other species than Pinus pinea, Pine nut kernels from other species than Pinus pinea, Pine nut kernels from other species than Pinus pinea, Pine nut kernels from other species than Pinus pinea, Pine nut kernels from other species than Pinus pinea, Pine nut kernels from other species than Pinus pinea, Pine nut kernels from other species than Pinus pinea, Other species of genus Pinus, not elsewhere mentioned,)",120090,,01/09/2008,,,,
06/10/2016 08:48,,,,Pistachios,120100,,01/09/2008,,,,
06/10/2016 08:48,,,,Walnuts,120110,,01/09/2008,,,,
06/10/2016 08:48,,,,Others,120990,,01/09/2008,,,,
06/10/2016 08:48,,,,Pome fruits,130000,,01/09/2008,,,,
06/10/2016 08:48,,,,"Apples (Crab apples/wild apples, Tejocotes,)",130010,,01/09/2008,,,,
06/10/2016 08:48,,,,"Pears (Nashi pears/Oriental pears, Wild pears, Ya pears/Chinese white pears,)",130020,,01/09/2008,,,,
06/10/2016 08:48,,,,"Quinces (Chinese quinces, Japanese quinces,)",130030,,01/09/2008,,,,
06/10/2016 08:48,,,,Medlars,130040,,01/09/2008,,,,
06/10/2016 08:48,,,,Loquats/Japanese medlars,130050,,01/09/2008,,,,
06/10/2016 08:48,,,,Others,130990,,01/09/2008,,,,
06/10/2016 08:48,,,,Stone fruits,140000,,01/09/2008,,,,
06/10/2016 08:48,,,,"Apricots (Japanese apricots/Umes, Nectacots,)",140010,,01/09/2008,,,,
06/10/2016 08:48,,,,"Cherries (sweet) (Black cherries, Capulins, Chokecherries, Cornelian cherries/European corniols, Nanking cherries, Sour cherries/morello cherries,)",140020,,01/09/2008,,,,
06/10/2016 08:48,,,,"Peaches (Flat peaches/saturn peaches/paraguayas, Nectarines, Other hybrids of Persica vulgaris; syn: Prunus persica, not elsewhere mentioned,)",140030,,01/09/2008,,,,
06/10/2016 08:48,,,,"Plums (American plums, Beach plums, Cherry plums /myrabolans, Chickasaw plums, Chinese jujubes/red dates/Chinese dates, Damsons/ bullaces, Gages/greengages/Reine Claudes, Japanese plums, Klamath plums, Mirabelles, Plumcots, Prunus Nadia?, Sloes/blackthorne berries,)",140040,,01/09/2008,,,,
06/10/2016 08:48,,,,Others,140990,,01/09/2008,,,,
06/10/2016 08:48,,,,Berries and small fruits,150000,,01/09/2008,,,,
06/10/2016 08:48,,,,(a) grapes,151000,,01/09/2008,,,,
06/10/2016 08:48,,,,"Table grapes (Kiwiberries/dwarf kiwi (2), Schisandra berries,)",151010,,01/09/2008,,,,
06/10/2016 08:48,,,,"Wine grapes (Amur river grapes, Muscadine grapes,)",151020,,01/09/2008,,,,
06/10/2016 08:48,,,,"(b) strawberries (Musky strawberries, Wild strawberries,)",152000,,01/09/2008,,,,
06/10/2016 08:48,,,,(c) cane fruits,153000,,01/09/2008,,,,
06/10/2016 08:48,,,,Blackberries,153010,,01/09/2008,,,,
06/10/2016 08:48,,,,"Dewberries (Boysenberries, Loganberries, Olallieberries, Salmonberries, Tayberries, Thimbleberries, Youngberries, Other species and hybrids of genus Rubus, not elsewhere mentioned,)",153020,,01/09/2008,,,,
06/10/2016 08:48,,,,"Raspberries (red and yellow) (Arctic brambles/arctic raspberries/nectar berries, Black raspberries, Korean black raspberries, Korean raspberries, Nectar raspberries, Wineberries/Japanese wineberries,)",153030,,01/09/2008,,,,
06/10/2016 08:48,,,,Others,153990,,01/09/2008,,,,
06/10/2016 08:48,,,,(d) other small fruits and berries,154000,,01/09/2008,,,,
06/10/2016 08:48,,,,"Blueberries (Aronia berries/chokeberries (black, purple and red), Aronia berries/chokeberries (black, purple and red), Aronia berries/chokeberries (black, purple and red), Bearberries, Bilberries/European blueberries/whortleberries, Bog bilberries, European barberries, Golden currant/buffalo currant, Haskaps/blue honeysuckles, Huckleberries, Jostaberries, Juneberries, Myrtle berries, Native currant, Red bilberries/cowberries, Red bilberries/lingonberries, Salal/shallon berries, Sea buckthorns/sallow thorns, Serviceberries, Ugniberries/Chilean guavas, Worcesterberries, Other species and hybrids of genera Ribes and Vaccinium, not elsewhere mentioned,)",154010,,01/09/2008,,,,
06/10/2016 08:48,,,,"Cranberries (Cloudberries, Crowberries, Crowberries, Crowberries, Crowberries, Muntries, Partridge berries, Small cranberries/European cranberries,)",154020,,01/09/2008,,,,
06/10/2016 08:48,,,,"Currants (black, red and white)",154030,,01/09/2008,,,,
06/10/2016 08:48,,,,"Gooseberries (green, red and yellow)",154040,,01/09/2008,,,,
06/10/2016 08:48,,,,Rose hips,154050,,01/09/2008,,,,
06/10/2016 08:48,,,,Mulberries (black and white),154060,,01/09/2008,,,,
06/10/2016 08:48,,,,Azaroles/Mediterranean medlars,154070,,01/09/2008,,,,
06/10/2016 08:48,,,,"Elderberries (Bayberries, Buffalo berries, Che berries, Dwarf elderberries, Guelder rose berries, Hawberries, Midland hawberries, Phalsa fruits, Riberries, Rowan berries, Saskatoons/saskatoons berries/Pacific serviceberries, Silverberries/Russian olives, Sorb berries/sorb apples,)",154080,,01/09/2008,,,,
06/10/2016 08:48,,,,Others,154990,,01/09/2008,,,,
06/10/2016 08:48,,,,Miscellaneous fruits with,160000,,01/09/2008,,,,
06/10/2016 08:48,,,,(a) edible peel,161000,,01/09/2008,,,,
06/10/2016 08:48,,,,"Dates (A?a? berries, Awara palm fruits, Doum palm fruits,)",161010,,01/09/2008,,,,
06/10/2016 08:48,,,,Figs,161020,,01/09/2008,,,,
06/10/2016 08:48,,,,"Table olives (Chinese black olives, Chinese white olives, Desert dates,)",161030,,01/09/2008,,,,
06/10/2016 08:48,,,,"Kumquats (Limequats, Marumi kumquats/round kumquats, Nagami kumquats/oval kumquats, Other species and hybrids of genus Fortunella, not elsewhere mentioned,)",161040,,01/09/2008,,,,
06/10/2016 08:48,,,,"Carambolas (Ambarellas, Aonlas/Indian gooseberries, Babacos, Bilimbis, Cashew apples, Indian jujubes/bers, Jaboticabas, Malay pommarosas/pomeracs, Malayan mombins, Maprangs/marian plums, Natal plums, Nonis, Pommarosas/rose apples, Purple mombins, Santols/sentuls,)",161050,,01/09/2008,,,,
06/10/2016 08:48,,,,Kaki/Japanese persimmons,161060,,01/09/2008,,,,
06/10/2016 08:48,,,,"Jambuls/jambolans (Acerolas/Barbados cherries, Arbutus berries, Camu camus, Carandas, Coco plums, Grumichamas/Brazil cherries, Hog plums/yellow mombins, Java apples, Otaheite gooseberries, Sea grapes, Surinam cherries, Water apples, Water berries, Water pears,)",161070,,01/09/2008,,,,
06/10/2016 08:48,,,,Others,161990,,01/09/2008,,,,
06/10/2016 08:48,,,,"(b) inedible peel, small",162000,,01/09/2008,,,,
06/10/2016 08:48,,,,"Kiwi fruits (green, red, yellow)",162010,,01/09/2008,,,,
06/10/2016 08:48,,,,"Litchis/lychees (Longans, Marulas, Salaks/snake fruits, Spanish limes/mamoncillos/genips,)",162020,,01/09/2008,,,,
06/10/2016 08:48,,,,"Passionfruits/maracujas (Banana passionfruits, Giant granadillas, Granadillas, Monstera fruits, Wingedstem passionflower fruits,)",162030,,01/09/2008,,,,
06/10/2016 08:48,,,,"Prickly pears/cactus fruits (Pitayas/dragon fruits, Red pitayas, Saguaro fruits,)",162040,,01/09/2008,,,,
06/10/2016 08:48,,,,Star apples/cainitos,162050,,01/09/2008,,,,
06/10/2016 08:48,,,,"American persimmons/Virginia kaki (Black sapotes, Green sapotes, White sapotes, Yellow sapotes/canistels,)",162060,,01/09/2008,,,,
06/10/2016 08:48,,,,Others,162990,,01/09/2008,,,,
06/10/2016 08:48,,,,"(c) inedible peel, large",163000,,01/09/2008,,,,
06/10/2016 08:48,,,,"Avocados (Avocados for oil production,)",163010,,01/09/2008,,,,
06/10/2016 08:48,,,,"Bananas (Cavendishes/grand nains, Cavendishes/grand nains, Cavendishes/grand nains, Dwarf bananas/lady fingers bananas, Plantains, Plantains, Plantains,)",163020,,01/09/2008,,,,
06/10/2016 08:48,,,,Mangoes,163030,,01/09/2008,,,,
06/10/2016 08:48,,,,"Papayas (Akee apples, Feijoas/pineapple guavas, Langsats/lanzones/longkongs, Mangosteens, Naranjillas/lulos, Paw paws, Tamarillos,)",163040,,01/09/2008,,,,
06/10/2016 08:48,,,,Granate apples/pomegranates,163050,,01/09/2008,,,,
06/10/2016 08:48,,,,"Cherimoyas (Elephant apples, Ilamas, Mammey sapotes, Marmeladedos, Pulasans, Rambutans/hairy litchis, Sapodillas, Sweetsops/sugar apples, Wild sweetsops/custard apples,)",163060,,01/09/2008,,,,
