Creation_Date,Name,entry_force,directive,Product_name,Product_code,MRL,ApplicationDate,Footnotes_MRL,ApplicationDate2,NewMRL,Footnotes_sub
06/10/2016 08:48,Malathion (sum of malathion and malaoxon expressed as malathion),,,,,,,,,,
06/10/2016 08:48,,03/04/2015,,,,,,,,,
06/10/2016 08:48,,,Regulation (EU) 2015/399,,,,,,,,
06/10/2016 08:48,,,,"FRUITS, FRESH or FROZEN; TREE NUTS",100000,,03/04/2015,,,,
06/10/2016 08:48,,,,Citrus fruits,110000,2,03/04/2015,,,,
06/10/2016 08:48,,,,"Grapefruits (Natsudaidais, Shaddocks/pomelos, Sweeties/oroblancos, Tangelolos, Tangelos (except minneolas)/Ugli?, Other hybrids of Citrus paradisi, not elsewhere mentioned,)",110010,2,03/04/2015,,,,
06/10/2016 08:48,,,,"Oranges (Bergamots, Bitter oranges/sour oranges, Blood oranges, Cara caras, Chinottos, Trifoliate oranges, Other hybrids of Citrus sinensis, not elsewhere mentioned,)",110020,2,03/04/2015,,,,
06/10/2016 08:48,,,,"Lemons (Buddha's hands/Buddha's fingers, Citrons,)",110030,2,03/04/2015,,,,
06/10/2016 08:48,,,,"Limes (Indian sweet limes/Palestine sweet limes, Kaffir limes, Sweet limes/mosambis, Tahiti limes,)",110040,2,03/04/2015,,,,
06/10/2016 08:48,,,,"Mandarins (Calamondins, Clementines, Cleopatra mandarins, Minneolas, Satsumas, Tangerines/dancy mandarins, Tangors, Other hybrids of Citrus reticulata, not elsewhere mentioned,)",110050,2,03/04/2015,,,,
06/10/2016 08:48,,,,Others,110990,2,03/04/2015,,,,
06/10/2016 08:48,,,,Tree nuts,120000,0.02*,03/04/2015,,,,
06/10/2016 08:48,,,,"Almonds (Apricot kernels, Bitter almonds, Canarium nuts/galip nuts, Pili nuts,)",120010,0.02*,03/04/2015,,,,
06/10/2016 08:48,,,,Brazil nuts,120020,0.02*,03/04/2015,,,,
06/10/2016 08:48,,,,Cashew nuts,120030,0.02*,03/04/2015,,,,
06/10/2016 08:48,,,,Chestnuts,120040,0.02*,03/04/2015,,,,
06/10/2016 08:48,,,,"Coconuts (Areca nuts/betel nuts,)",120050,0.02*,03/04/2015,,,,
06/10/2016 08:48,,,,"Hazelnuts/cobnuts (Acorns, Filberts,)",120060,0.02*,03/04/2015,,,,
06/10/2016 08:48,,,,Macadamias,120070,0.02*,03/04/2015,,,,
06/10/2016 08:48,,,,"Pecans (Hickory nuts,)",120080,0.02*,03/04/2015,,,,
06/10/2016 08:48,,,,"Pine nut kernels (Pine nut kernels from other species than Pinus pinea, Pine nut kernels from other species than Pinus pinea, Pine nut kernels from other species than Pinus pinea, Pine nut kernels from other species than Pinus pinea, Pine nut kernels from other species than Pinus pinea, Pine nut kernels from other species than Pinus pinea, Pine nut kernels from other species than Pinus pinea, Other species of genus Pinus, not elsewhere mentioned,)",120090,0.02*,03/04/2015,,,,
06/10/2016 08:48,,,,Pistachios,120100,0.02*,03/04/2015,,,,
06/10/2016 08:48,,,,Walnuts,120110,0.02*,03/04/2015,,,,
06/10/2016 08:48,,,,Others,120990,0.02*,03/04/2015,,,,
06/10/2016 08:48,,,,Pome fruits,130000,0.02*,03/04/2015,,,,
06/10/2016 08:48,,,,"Apples (Crab apples/wild apples, Tejocotes,)",130010,0.02*,03/04/2015,,,,
06/10/2016 08:48,,,,"Pears (Nashi pears/Oriental pears, Wild pears, Ya pears/Chinese white pears,)",130020,0.02*,03/04/2015,,,,
06/10/2016 08:48,,,,"Quinces (Chinese quinces, Japanese quinces,)",130030,0.02*,03/04/2015,,,,
06/10/2016 08:48,,,,Medlars,130040,0.02*,03/04/2015,,,,
06/10/2016 08:48,,,,Loquats/Japanese medlars,130050,0.02*,03/04/2015,,,,
06/10/2016 08:48,,,,Others,130990,0.02*,03/04/2015,,,,
06/10/2016 08:48,,,,Stone fruits,140000,0.02*,03/04/2015,,,,
