22|AP|FR|CA1|083|I|0.015|0.0|M|||Q|H|O|550|07
22|AP|FR|CA1|102|E|0.130|0.0|M|M|||M|O|553|12
22|AP|FR|CA1|125|F|1.70|0.0|M||||H|O|550|07
22|AP|FR|CA1|157|B|0.520|0.0|M|D|||H|A|550|07
22|AP|FR|CA1|537|E|0.029|0.0|M||||M|O|553|12
23|AP|FR|CA1|026|G|0.016|0.0|M|D|||M|O|999|05
23|AP|FR|CA1|102|E|0.015|0.0|M|||Q|M|O|553|12
23|AP|FR|CA1|125|F|0.015|0.0|M|||Q|H|O|550|07
23|AP|FR|CA1|157|B|0.360|0.0|M|D|||H|A|550|07
23|AP|FR|CA1|160|C|0.095|0.0|M|M|||M|O|552|02
24|AP|FR|CA1|026|G|0.005|0.0|M|D||Q|M|O|999|05
24|AP|FR|CA1|057|C|0.019|0.0|M|M|||M|O|552|02
24|AP|FR|CA1|083|I|0.037|0.0|M||||H|O|550|07
24|AP|FR|CA1|102|E|0.025|0.0|M|M||Q|M|O|553|12
24|AP|FR|CA1|125|F|2.0|0.0|M||||H|O|550|07
24|AP|FR|CA1|157|B|0.770|0.0|M|D|||H|A|550|07
25|AP|FR|CA1|083|I|0.230|0.0|M||||H|O|550|07
25|AP|FR|CA1|125|F|2.0|0.0|M||||H|O|550|07
25|AP|FR|CA1|157|B|0.910|0.0|M||||H|O|550|07
25|AP|FR|CA1|160|C|0.013|0.0|M|M||Q|M|O|552|02
26|AP|FR|CA1|083|I|0.180|0.0|M|M|||M|O|550|07
26|AP|FR|CA1|102|E|0.150|0.0|M|M|||M|O|553|12
26|AP|FR|CA1|125|F|0.710|0.0|M|M|||M|O|550|07
27|AP|FR|CA1|057|C|0.015|0.0|M|M|||M|O|552|02
27|AP|FR|CA1|083|I|0.015|0.0|M|||Q|H|O|550|07
27|AP|FR|CA1|102|E|0.150|0.0|M|M|||M|O|553|12
27|AP|FR|CA1|157|B|0.920|0.0|M|D|||H|A|550|07
28|AP|FR|CA1|057|C|0.005|0.0|M|M||Q|M|O|552|02
28|AP|FR|CA1|102|E|0.025|0.0|M|M||Q|M|O|553|12
28|AP|FR|CA1|125|F|0.350|0.0|M||||M|O|550|07
28|AP|FR|CA1|157|B|0.590|0.0|M|D|||H|A|550|07
28|AP|FR|CA1|160|C|0.024|0.0|M|M|||M|O|552|02
29|AP|FR|CA1|125|F|1.30|0.0|M||||M|O|550|07
29|AP|FR|CA1|157|B|0.290|0.0|M|D|||H|O|550|07
30|AP|FR|CA1|157|B|0.40|0.0|M|D|||H|O|550|07
30|AP|FR|CA1|537|E|0.025|0.0|M|||Q|M|O|553|12
31|AP|FR|CA1|042|C|0.240|0.0|M|M|||M|O|552|02
31|AP|FR|CA1|125|F|2.30|0.0|M||||M|O|550|07
31|AP|FR|CA1|157|B|0.60|0.0|M|D|||H|A|550|07
32|AP|FR|CA1|042|C|0.025|0.0|M|D||Q|M|O|552|02
32|AP|FR|CA1|125|F|1.30|0.0|M||||M|O|550|07
32|AP|FR|CA1|157|B|0.540|0.0|M||||M|O|550|07
33|AP|FR|CA1|042|C|0.025|0.0|M|D||Q|M|O|552|02
33|AP|FR|CA1|083|I|0.028|0.0|M||||M|O|550|07
33|AP|FR|CA1|102|E|0.086|0.0|M||||M|O|553|12
33|AP|FR|CA1|125|F|0.680|0.0|M||||M|O|550|07
33|AP|FR|CA1|157|B|0.470|0.0|M|D|||H|A|550|07
33|AP|FR|CA1|537|E|0.025|0.0|M|||Q|M|O|553|12
34|AP|FR|CA1|042|C|0.025|0.0|M|D||Q|M|O|552|02
34|AP|FR|CA1|125|F|0.120|0.0|M||||M|O|550|07
34|AP|FR|CA1|157|B|0.510|0.0|M|D|||H|A|550|07
35|AP|FR|CA1|042|C|0.025|0.0|M|D||Q|M|O|552|02
35|AP|FR|CA1|057|C|0.005|0.0|M|M||Q|M|O|552|02
35|AP|FR|CA1|115|A|0.010|0.0|M|D||Q|M|O|551|05
35|AP|FR|CA1|125|F|0.840|0.0|M||||M|O|550|07
35|AP|FR|CA1|157|B|0.340|0.0|M|D|||H|A|550|07
36|AP|FR|CA1|042|C|0.025|0.0|M|D||Q|M|O|552|02
37|AP|FR|CA1|011|A|0.30|0.0|M|M|||M|O|551|05
37|AP|FR|CA1|125|F|2.0|0.0|M||||M|O|550|07
38|AP|FR|CA1|042|C|0.025|0.0|M|D||Q|M|O|552|02
38|AP|FR|CA1|069|C|0.005|0.0|M|D||Q|M|O|552|02
38|AP|FR|CA1|115|A|0.005|0.0|M|D||Q|M|O|551|05
38|AP|FR|CA1|157|B|0.620|0.0|M|D|||H|A|550|07
39|AP|FR|CA1|042|C|0.025|0.0|M|D||Q|M|O|552|02
39|AP|FR|CA1|057|C|0.023|0.0|M|M|||M|O|552|02
39|AP|FR|CA1|083|I|0.015|0.0|M|||Q|M|O|550|07
39|AP|FR|CA1|102|E|0.230|0.0|M|M|||M|O|553|12
39|AP|FR|CA1|125|F|3.0|0.0|M||||M|O|550|07
39|AP|FR|CA1|157|B|0.870|0.0|M|D|||H|A|550|07
39|AP|FR|CA1|160|C|0.005|0.0|M|D||Q|M|O|552|02
40|AP|FR|CA1|042|C|0.055|0.0|M|D|||M|O|552|02
40|AP|FR|CA1|057|C|0.005|0.0|M|D||Q|M|O|552|02
40|AP|FR|CA1|102|E|0.025|0.0|M|||Q|H|O|553|12
40|AP|FR|CA1|125|F|0.062|0.0|M||||M|O|550|99
40|AP|FR|CA1|157|B|0.055|0.0|M|D|||H|A|550|99
40|AP|FR|CA1|537|E|0.025|0.0|M|||Q|H|O|553|12
41|AP|FR|CA1|042|C|0.062|0.0|M|D|||M|O|552|02
