SAMPLE_PK,STATE,YEAR,MONTH,DATE,SITE,COMMODITY,SOURCE_ID,VARIETY,GRADE,ORIGIN,COUNTRY,DISTTYPE,COMMTYPE,CLAIM,QUANTITY,GROWST,PACKST,DISTST
467,NY,4,8,3,265,AP, ,Empire,,1,,D,FR,NC,17,NY,,
468,NY,4,8,3,277,AP, ,Granny Smith,,1,,D,FR,NC,13,,,WA
469,NY,4,9,8,9,AP, ,McIntosh,,1,,D,FR,NC,16,NY,,NY
470,NY,4,9,8,68,AP, ,Granny Smith,,1,,D,FR,NC,14,CA,,
471,NY,4,9,8,79,AP, ,Rome,,1,,T,FR,NC,8,,,NY
472,NY,4,9,8,113,AP, ,Unknown,,1,,T,FR,NC,9,OR,,
473,NY,4,9,8,138,AP, ,Empire,,1,,D,FR,NC,18,NY,,
474,NY,4,9,8,242,AP, ,Unknown,,1,,T,FR,NC,11,,,WA
475,NY,4,9,8,262,AP, ,Paula Red,,1,,D,FR,NC,13,NY,,
476,NY,4,9,8,268,AP, ,Paula Red,,1,,D,FR,NC,20,NY,,
477,NY,4,9,8,272,AP, ,Braeburn,,2,660,D,FR,NC,9,,,
478,NY,4,10,5,6,AP, ,Gala,,1,,D,FR,NC,20,WA,,
479,NY,4,10,5,17,AP, ,Unknown,,1,,D,FR,NC,17,,,MN
480,NY,4,10,5,30,AP, ,Red Delicious,,1,,D,FR,NC,11,WA,,
481,NY,4,10,5,55,AP, ,Unknown,,1,,D,FR,NC,13,,,WA
482,NY,4,10,5,68,AP, ,Gala,,1,,T,FR,NC,10,,,WA
483,NY,4,10,5,71,AP, ,Granny Smith,,1,,T,FR,NC,11,,,WA
484,NY,4,10,5,113,AP, ,Red Delicious,,1,,T,FR,NC,10,,OR,
485,NY,4,10,5,120,AP, ,Fuji,,2,660,H,FR,NC,20,,,
486,NY,4,10,5,242,AP, ,Red Delicious,,1,,T,FR,NC,9,WA,,
487,NY,4,11,2,36,AP, ,Jonamac,,1,,D,FR,NC,16,NY,,
488,NY,4,11,2,68,AP, ,Fuji,,1,,T,FR,NC,9,,,WA
489,NY,4,11,2,71,AP, ,Red Delicious,,1,,T,FR,NC,10,,,WA
490,NY,4,11,2,79,AP, ,Granny Smith,,1,,T,FR,NC,10,,CA,
491,NY,4,11,2,113,AP, ,McIntosh,,1,,T,FR,NC,15,,,NY
492,NY,4,11,2,128,AP, ,Red Delicious,,1,,D,FR,NC,13,,WA,
493,NY,4,11,2,156,AP, ,Red Delicious,,1,,D,FR,NC,13,,,WA
494,NY,4,11,2,262,AP, ,Granny Smith,,1,,D,FR,NC,16,WA,,
495,NY,4,11,2,272,AP, ,Braeburn,,1,,D,FR,NC,13,,,WA
496,NY,4,12,7,55,AP, ,McIntosh,,1,,D,FR,NC,19,NY,,
497,NY,4,12,7,79,AP, ,McIntosh,,1,,T,FR,NC,14,NY,,
498,NY,4,12,7,113,AP, ,Red Delicious,,1,,T,FR,NC,11,WA,,
499,NY,4,12,7,145,AP, ,Red Delicious,,1,,D,FR,NC,13,,,WA
500,NY,4,12,7,156,AP, ,Golden Delicious,,1,,D,FR,NC,14,,,WA
501,NY,4,12,7,259,AP, ,Fuji,,1,,D,FR,NC,16,NY,,
502,NY,4,12,7,265,AP, ,Red Delicious,,1,,D,FR,NC,15,,,NY
503,NY,4,12,7,268,AP, ,Empire,,1,,T,FR,NC,22,NY,,
504,NY,4,12,7,273,AP, ,Red Delicious,,1,,T,FR,NC,11,WA,,
505,OH,4,1,12,105,AP, ,Unknown,,1,,D,FR,NC,12,,,WA
506,OH,4,1,12,107,AP, ,Red Delicious,,1,,D,FR,NC,12,,,WA
507,OH,4,1,12,206,AP, ,Golden Delicious,,1,,D,FR,NC,13,,,WA
508,OH,4,1,12,210,AP, ,Granny Smith,,1,,D,FR,NC,18,,,WA
509,OH,4,1,12,300,AP, ,Red Delicious,,1,,D,FR,NC,13,,,WA
510,OH,4,1,12,412,AP, ,Golden Delicious,,1,,D,FR,NC,17,,,WA
511,OH,4,2,9,100,AP, ,Red Delicious,,1,,D,FR,NC,10,,,WA
512,OH,4,2,9,104,AP, ,Red Delicious,,1,,D,FR,NC,24,,,WA
513,OH,4,2,9,118,AP, ,Red Delicious,,1,,D,FR,NC,18,,MI,MI
514,OH,4,2,9,205,AP, ,Red Delicious,,1,,D,FR,NC,9,,WA,
515,OH,4,2,9,307,AP, ,Gala,,1,,D,FR,NC,8,,,WA
516,OH,4,2,9,407,AP, ,Rome,,1,,D,FR,NC,12,OH,OH,OH
517,OH,4,3,8,107,AP, ,Unknown,,1,,D,FR,NC,14,,,WA
518,OH,4,3,8,115,AP, ,Unknown,,1,,D,FR,NC,13,,WA,WA
519,OH,4,3,8,206,AP, ,Golden Delicious,,1,,D,FR,NC,13,,,WA
520,OH,4,3,8,229,AP, ,Unknown,,1,,D,FR,NC,13,,,WA
521,OH,4,3,8,401,AP, ,Golden Delicious,,1,,D,FR,NC,15,WA,,
522,OH,4,3,8,412,AP, ,Granny Smith,,1,,D,FR,NC,13,,,WA
523,OH,4,4,12,107,AP, ,Red Delicious,,1,,D,FR,NC,9,,,WA
524,OH,4,4,12,115,AP, ,Red Delicious,,1,,D,FR,NC,23,,,WA
525,OH,4,4,12,206,AP, ,Granny Smith,,1,,D,FR,NC,10,,,WA
526,OH,4,4,12,300,AP, ,Red Delicious,,1,,D,FR,NC,15,,,WA
527,OH,4,4,12,402,AP, ,Red Delicious,,1,,D,FR,NC,17,,,WA
528,OH,4,4,12,412,AP, ,Red Delicious,,1,,D,FR,NC,11,,,WA
529,OH,4,5,10,105,AP, ,Red Delicious,,1,,D,FR,NC,17,,,WA
530,OH,4,5,10,107,AP, ,Red Delicious,,1,,D,FR,NC,10,,,WA
531,OH,4,5,10,118,AP, ,Red Delicious,,1,,D,FR,NC,10,,,WA
532,OH,4,5,10,205,AP, ,Granny Smith,,1,,D,FR,NC,11,,,WA
533,OH,4,5,10,208,AP, ,Granny Smith,,1,,D,FR,NC,13,,,WA
534,OH,4,5,10,405,AP, ,Unknown,,1,,D,FR,NC,13,,,WA
535,OH,4,6,14,103,AP, ,Unknown,,1,,D,FR,NC,16,,,WA
536,OH,4,6,14,115,AP, ,Red Delicious,,1,,D,FR,NC,20,,WA,WA
537,OH,4,6,14,203,AP, ,Golden Delicious,,1,,D,FR,NC,11,,,WA
538,OH,4,6,14,229,AP, ,Unknown,,1,,D,FR,NC,14,,,WA
539,OH,4,6,14,400,AP, ,Unknown,,1,,D,FR,NC,15,,,WA
540,OH,4,6,14,410,AP, ,Unknown,,1,,D,FR,NC,15,,,WA
541,OH,4,7,12,100,AP, ,Unknown,,2,660,D,FR,NC,12,,,
542,OH,4,7,12,107,AP, ,Unknown,,1,,D,FR,NC,22,,,WA
543,OH,4,7,12,202,AP, ,Red Delicious,,1,,D,FR,NC,12,,,WA
544,OH,4,7,12,229,AP, ,Unknown,,1,,D,FR,NC,14,,WA,
545,OH,4,7,12,400,AP, ,Granny Smith,,2,275,D,FR,NC,14,,,
546,OH,4,7,12,410,AP, ,Unknown,,1,,D,FR,NC,14,,,WA
547,OH,4,8,9,100,AP, ,Unknown,,2,660,D,FR,NC,10,,,
548,OH,4,8,9,115,AP, ,Unknown,,1,,D,FR,NC,13,,WA,WA
549,OH,4,8,9,205,AP, ,Red Delicious,,1,,D,FR,NC,9,,,WA
550,OH,4,8,9,206,AP, ,Granny Smith,,1,,D,FR,NC,10,,,WA
551,OH,4,8,9,402,AP, ,Unknown,,1,,D,FR,NC,12,,,WA
552,OH,4,8,9,412,AP, ,Unknown,,1,,D,FR,NC,11,,,WA
553,OH,4,9,13,105,AP, ,Unknown,,1,,D,FR,NC,16,WA,WA,WA
554,OH,4,9,13,107,AP, ,Golden Delicious,,1,,D,FR,NC,15,,,WA
555,OH,4,9,13,118,AP, ,Ginger Gold,,1,,D,FR,NC,14,,MI,
556,OH,4,9,13,208,AP, ,Red Delicious,,1,,D,FR,NC,15,,,WA
557,OH,4,9,13,212,AP, ,Red Delicious,,1,,D,FR,NC,9,,,WA
558,OH,4,9,13,404,AP, ,Paula Red,,1,,D,FR,NC,22,OH,,
559,OH,4,10,12,107,AP, ,Unknown,,1,,D,FR,NC,11,,PA,PA
560,OH,4,10,12,112,AP, ,Red Delicious,,1,,D,FR,NC,15,WA,WA,WA
561,OH,4,10,12,205,AP, ,Golden Delicious,,1,,D,FR,NC,13,,,WA
562,OH,4,10,12,206,AP, ,Jonagold,,1,,D,FR,NC,9,,,WA
563,OH,4,10,12,404,AP, ,Golden Delicious,,1,,D,FR,NC,12,,WA,
564,OH,4,10,12,412,AP, ,Golden Delicious,,1,,D,FR,NC,21,,,MI
565,OH,4,11,8,100,AP, ,Red Delicious,,1,,D,FR,NC,7,,,WA
566,OH,4,11,8,107,AP, ,Golden Delicious,,1,,D,FR,NC,17,,PA,
567,OH,4,11,8,206,AP, ,Granny Smith,,1,,D,FR,NC,14,,,CA
568,OH,4,11,8,210,AP, ,Empire,,1,,D,FR,NC,18,,,
569,OH,4,11,8,307,AP, ,Golden Delicious,,1,,D,FR,NC,16,,,
570,OH,4,11,8,407,AP, ,Unknown,,1,,D,FR,NC,14,,,WA
571,OH,4,12,13,107,AP, ,Unknown,,1,,D,FR,NC,14,,,WA
572,OH,4,12,13,112,AP, ,Red Delicious,,1,,D,FR,NC,11,,WA,
573,OH,4,12,13,203,AP, ,Red Delicious,,1,,D,FR,NC,10,,,WA
574,OH,4,12,13,401,AP, ,Red Delicious,,1,,D,FR,NC,14,,,MI
575,OH,4,12,13,412,AP, ,Red Delicious,,1,,D,FR,NC,17,,,WA
576,OH,4,12,15,229,AP, ,Unknown,,1,,D,FR,NC,14,,,WA
577,TX,4,1,12,30,AP, ,Unknown,,1,,D,FR,NC,12,CA,,
578,TX,4,1,12,104,AP, ,Unknown,,1,,T,FR,NC,19,,,WA
579,TX,4,1,12,105,AP, ,Unknown,,1,,D,FR,NC,21,,,WA
580,TX,4,1,12,201,AP, ,Fuji,,1,,D,FR,NC,15,TX,,TX
581,TX,4,1,12,405,AP, ,Golden Delicious,,1,,D,FR,NC,13,,,MN
582,TX,4,1,12,407,AP, ,McIntosh,,1,,D,FR,NC,14,,,NY
583,TX,4,1,12,408,AP, ,Unknown,,1,,T,FR,NC,20,,,WA
584,TX,4,1,13,419,AP, ,Granny Smith,,1,,D,FR,NC,21,WA,,WA
585,TX,4,2,9,40,AP, ,Fuji,,1,,D,FR,NC,12,,,WA
586,TX,4,2,9,104,AP, ,Red Delicious,,1,,T,FR,NC,16,,,WA
587,TX,4,2,9,108,AP, ,Unknown,,1,,T,FR,NC,8,,,WA
588,TX,4,2,9,207,AP, ,Pink Lady,,1,,D,FR,NC,14,,,WA
589,TX,4,2,9,406,AP, ,Empire,,1,,D,FR,NC,14,,,NY
590,TX,4,2,9,408,AP, ,Unknown,,1,,T,FR,NC,14,,,WA
591,TX,4,2,9,409,AP, ,Unknown,,1,,D,FR,NC,10,WA,,
592,TX,4,2,9,419,AP, ,Granny Smith,,1,,D,FR,NC,16,WA,,WA
593,TX,4,3,8,20,AP, ,Red Delicious,,1,,D,FR,NC,8,WA,,
594,TX,4,3,8,103,AP, ,Red Delicious,,1,,D,FR,NC,11,WA,,
595,TX,4,3,8,104,AP, ,Red Delicious,,1,,T,FR,NC,9,,,MI
596,TX,4,3,8,300,AP, ,Gala,,1,,D,FR,NC,13,,,WA
597,TX,4,3,8,407,AP, ,Red Delicious,,1,,D,FR,NC,18,,,WA
598,TX,4,3,8,408,AP, ,Unknown,,1,,T,FR,NC,15,,,WA
599,TX,4,3,8,419,AP, ,Red Delicious,,1,,D,FR,NC,13,MI,,MI
600,TX,4,3,9,201,AP, ,Ambrosia,,2,260,D,FR,NC,13,,,
601,TX,4,4,5,408,AP, ,Unknown,,1,,T,FR,NC,30,,,WA
602,TX,4,4,12,40,AP, ,Fuji,,1,,D,FR,NC,10,,,WA
603,TX,4,4,12,201,AP, ,Gala,,1,,D,FR,NC,13,,,WA
604,TX,4,4,12,204,AP, ,Gala,,1,,T,FR,NC,12,,,WA
605,TX,4,4,12,405,AP, ,Red Delicious,,1,,D,FR,NC,13,,,MN
606,TX,4,4,12,409,AP, ,Unknown,,1,,D,FR,NC,20,WA,,
607,TX,4,4,13,104,AP, ,Unknown,Extra Fancy,1,,T,FR,NC,11,,,WA
608,TX,4,4,13,107,AP, ,Cameo,Extra Fancy,1,,D,FR,NC,12,,,WA
609,TX,4,5,10,1,AP, ,Red Delicious,,1,,D,FR,NC,14,WA,,TX
610,TX,4,5,10,103,AP, ,Unknown,,1,,D,FR,NC,12,,,NY
611,TX,4,5,10,104,AP, ,Red Delicious,,1,,T,FR,NC,13,,,WA
612,TX,4,5,10,406,AP, ,Red Delicious,,1,,D,FR,NC,12,,,WA
613,TX,4,5,10,409,AP, ,Unknown,,1,,D,FR,NC,18,WA,,
614,TX,4,5,11,201,AP, ,Acey Mac,,1,,D,FR,NC,14,,,NY
615,TX,4,5,11,215,AP, ,Red Delicious,,1,,D,FR,NC,13,WA,,
616,TX,4,5,11,419,AP, ,Red Delicious,,1,,D,FR,NC,12,WA,,WA
617,TX,4,6,14,30,AP, ,Unknown,,1,,D,FR,NC,11,WA,,
618,TX,4,6,14,104,AP, ,Unknown,,1,,T,FR,NC,16,,,NY
619,TX,4,6,14,105,AP, ,Unknown,,1,,D,FR,NC,12,WA,,WA
620,TX,4,6,14,201,AP, ,Gala,,2,660,D,FR,NC,13,,,
621,TX,4,6,14,300,AP, ,Gala,,1,,D,FR,NC,11,,,WA
622,TX,4,6,14,407,AP, ,Red Delicious,,1,,D,FR,NC,14,,,WA
623,TX,4,6,14,408,AP, ,Unknown,,1,,T,FR,NC,12,WA,,
624,TX,4,6,14,419,AP, ,Fuji,,1,,D,FR,NC,12,WA,,
625,TX,4,7,6,407,AP, ,Red Delicious,,1,,D,FR,NC,18,,,WA
626,TX,4,7,6,408,AP, ,Unknown,,1,,T,FR,NC,16,WA,,WA
627,TX,4,7,7,300,AP, ,Gala,,2,275,D,FR,NC,12,,,
628,TX,4,7,12,104,AP, ,Unknown,,1,,T,FR,NC,13,,,WA
629,TX,4,7,12,105,AP, ,Red Delicious,,1,,D,FR,NC,18,,,WA
630,TX,4,7,12,201,AP, ,Red Delicious,,1,,D,FR,NC,16,WA,WA,WA
631,TX,4,7,19,30,AP, ,Unknown,,1,,D,FR,NC,10,WA,,
632,TX,4,7,19,419,AP, ,Red Delicious,,1,,D,FR,NC,13,WA,,WA
633,TX,4,8,2,30,AP, ,Unknown,,1,,D,FR,NC,9,,,WA
634,TX,4,8,9,104,AP, ,Granny Smith,Extra Fancy,1,,T,FR,NC,13,,,WA
635,TX,4,8,9,107,AP, ,Red Delicious,,1,,D,FR,NC,13,,,WA
636,TX,4,8,9,201,AP, ,Braeburn,,2,660,D,FR,PO,15,,,
637,TX,4,8,9,405,AP, ,Granny Smith,,1,,D,FR,NC,16,,,WA
638,TX,4,8,9,408,AP, ,Unknown,,1,,T,FR,NC,22,WA,WA,
639,TX,4,8,9,409,AP, ,Unknown,,1,,D,FR,NC,20,WA,,
640,TX,4,8,9,419,AP, ,Granny Smith,,1,,D,FR,NC,19,WA,WA,WA
641,TX,4,9,13,103,AP, ,Red Delicious,,1,,D,FR,NC,11,,,WA
642,TX,4,9,13,104,AP, ,Granny Smith,,1,,T,FR,NC,18,,CA,
643,TX,4,9,13,201,AP, ,Fuji,,2,UNK,D,FR,PO,12,,,
644,TX,4,9,13,211,AP, ,Fuji,,1,,D,FR,NC,16,CA,,
645,TX,4,9,13,406,AP, ,Gala,,1,,D,FR,NC,22,,,CA
646,TX,4,9,13,408,AP, ,Red Delicious,,1,,T,FR,NC,12,,,WA
647,TX,4,9,13,419,AP, ,Red Delicious,,1,,D,FR,NC,12,WA,WA,WA
648,TX,4,9,13,502,AP, ,Unknown,,1,,D,FR,NC,13,WA,,
649,TX,4,10,11,30,AP, ,Unknown,,1,,D,FR,NC,12,,,WA
650,TX,4,10,11,103,AP, ,Gala,,1,,D,FR,NC,10,,,WA
651,TX,4,10,11,104,AP, ,Jonathan,,1,,T,FR,NC,17,MO,MO,
652,TX,4,10,11,201,AP, ,Cameo,,1,,D,FR,NC,11,,,WA
653,TX,4,10,11,215,AP, ,Red Delicious,,1,,D,FR,NC,11,WA,,WA
654,TX,4,10,11,407,AP, ,Gala,,1,,D,FR,NC,14,,,WA
655,TX,4,10,11,408,AP, ,Red Delicious,,1,,T,FR,NC,12,,,WA
656,TX,4,10,11,419,AP, ,Red Delicious,,1,,D,FR,NC,10,,WA,WA
657,TX,4,11,8,40,AP, ,Fuji,,1,,D,FR,NC,11,,WA,
658,TX,4,11,8,104,AP, ,Red Delicious,,1,,T,FR,NC,11,,,WA
659,TX,4,11,8,105,AP, ,Granny Smith,,1,,D,FR,NC,12,,CA,CA
660,TX,4,11,8,201,AP, ,Liberty,,1,,D,FR,PO,14,,OR,OR
661,TX,4,11,8,405,AP, ,Golden Delicious,,1,,D,FR,NC,15,,,WA
662,TX,4,11,8,408,AP, ,Red Delicious,,1,,T,FR,NC,10,,,WA
663,TX,4,11,8,409,AP, ,Golden Delicious,,1,,D,FR,NC,20,,WA,
664,TX,4,11,8,419,AP, ,Red Delicious,,1,,D,FR,NC,12,,MI,MI
665,TX,4,12,13,20,AP, ,Red Delicious,,1,,D,FR,NC,9,,WA,
666,TX,4,12,13,104,AP, ,Red Delicious,,1,,T,FR,NC,12,,,WA
667,TX,4,12,13,107,AP, ,Unknown,,2,260,D,FR,NC,12,,,
668,TX,4,12,13,201,AP, ,Red Granny,,1,,D,FR,NC,17,CA,,
669,TX,4,12,13,300,AP, ,Golden Delicious,,1,,D,FR,NC,13,,,WA
670,TX,4,12,13,406,AP, ,Rome,,1,,D,FR,NC,13,,,NY
671,TX,4,12,13,408,AP, ,Red Delicious,,1,,T,FR,NC,12,,,WA
672,TX,4,12,13,419,AP, ,Jonathan,,1,,D,FR,NC,17,,MI,MI
673,WA,4,1,12,1,AP, ,Red Delicious,,1,,D,FR,NC,12,WA,,
674,WA,4,1,12,4,AP, ,Granny Smith,,1,,D,FR,NC,14,,,WA
675,WA,4,1,12,7,AP, ,Gala,,1,,D,FR,NC,18,WA,,
676,WA,4,1,12,23,AP, ,Red Delicious,,1,,D,FR,NC,13,WA,,MD
677,WA,4,2,9,1,AP, ,Red Delicious,,1,,D,FR,NC,11,,,WA
678,WA,4,2,9,4,AP, ,Braeburn,,1,,D,FR,NC,14,,,WA
679,WA,4,2,9,8,AP, ,Red Delicious,,1,,D,FR,NC,12,WA,,
680,WA,4,2,9,30,AP, ,Red Delicious,,1,,D,FR,NC,16,,,WA
681,WA,4,3,8,2,AP, ,Braeburn,,1,,D,FR,NC,12,,,WA
682,WA,4,3,8,4,AP, ,Red Delicious,,1,,D,FR,NC,12,,,WA
683,WA,4,3,8,10,AP, ,Braeburn,,1,,D,FR,NC,12,,,WA
684,WA,4,3,8,32,AP, ,Pink Lady,,1,,D,FR,NC,11,WA,WA,WA
685,WA,4,4,12,2,AP, ,Braeburn,,1,,D,FR,NC,12,,,WA
686,WA,4,4,12,4,AP, ,Red Delicious,,1,,D,FR,NC,11,,,WA
687,WA,4,4,12,10,AP, ,Granny Smith,,1,,D,FR,NC,15,,,WA
688,WA,4,4,12,32,AP, ,Gala,,1,,D,FR,NC,12,,,WA
689,WA,4,5,10,1,AP, ,Red Delicious,,1,,D,FR,NC,11,,,WA
690,WA,4,5,10,2,AP, ,Fuji,,1,,D,FR,NC,13,,,WA
691,WA,4,5,10,7,AP, ,Red Delicious,,1,,D,FR,NC,10,WA,,
692,WA,4,5,10,23,AP, ,Red Delicious,,1,,D,FR,NC,9,,,WA
693,WA,4,6,14,1,AP, ,Red Delicious,,1,,D,FR,NC,12,,,WA
694,WA,4,6,14,4,AP, ,Southern Rose,,2,660,D,FR,NC,14,,,
695,WA,4,6,14,8,AP, ,Fuji,,1,,D,FR,NC,20,,,WA
696,WA,4,6,14,30,AP, ,Unknown,,1,,D,FR,NC,9,,,WA
697,WA,4,7,12,1,AP, ,Red Delicious,,1,,D,FR,NC,11,,,WA
698,WA,4,7,12,4,AP, ,Braeburn,,2,660,D,FR,NC,11,,,
699,WA,4,7,12,8,AP, ,Fuji,,1,,D,FR,NC,20,,,WA
700,WA,4,7,12,30,AP, ,Red Delicious,,1,,D,FR,NC,10,,,WA
701,WA,4,8,9,2,AP, ,Fuji,,1,,D,FR,NC,17,,,WA
702,WA,4,8,9,3,AP, ,Fuji,,1,,D,FR,NC,8,,,WA
703,WA,4,8,9,5,AP, ,Fuji,,1,,D,FR,NC,12,,,WA
704,WA,4,8,9,32,AP, ,Unknown,,1,,D,FR,NC,12,,WA,
705,WA,4,9,13,1,AP, ,Red Delicious,,1,,D,FR,NC,12,,,WA
706,WA,4,9,13,7,AP, ,Unknown,,1,,D,FR,NC,13,,WA,
707,WA,4,9,13,16,AP, ,Red Delicious,,1,,D,FR,NC,12,,,WA
708,WA,4,9,13,23,AP, ,Red Delicious,,1,,D,FR,NC,13,,,WA
709,WA,4,10,11,1,AP, ,Red Delicious,,1,,D,FR,NC,8,,,WA
710,WA,4,10,11,8,AP, ,Fuji,,1,,D,FR,NC,13,,WA,
711,WA,4,10,11,23,AP, ,Red Delicious,,1,,D,FR,NC,16,,,WA
712,WA,4,10,11,30,AP, ,Unknown,,1,,D,FR,NC,11,,WA,
713,WA,4,11,8,1,AP, ,Red Delicious,,1,,D,FR,NC,10,WA,,
714,WA,4,11,8,4,AP, ,Golden Delicious,,1,,D,FR,NC,16,,,WA
715,WA,4,11,8,11,AP, ,Gala,,2,260,D,FR,NC,27,,,
716,WA,4,11,8,32,AP, ,Unknown,,1,,D,FR,NC,15,,,WA
717,WA,4,12,13,3,AP, ,Red Delicious,,1,,D,FR,NC,11,,,WA
718,WA,4,12,13,7,AP, ,Red Delicious,,1,,D,FR,NC,12,,,WA
719,WA,4,12,13,16,AP, ,Red Delicious,,1,,D,FR,NC,10,,WA,
720,WA,4,12,13,33,AP, ,Unknown,,1,,D,FR,NC,8,,,WA
721,WI,4,1,12,114,AP, ,Red Delicious,,1,,D,FR,NC,12,,,CA
722,WI,4,1,12,118,AP, ,Red Delicious,,1,,D,FR,NC,12,,,WA
723,WI,4,2,9,101,AP, ,Unknown,,1,,D,FR,NC,15,,,
724,WI,4,2,9,123,AP, ,Red Delicious,,1,,D,FR,NC,10,,,
725,WI,4,3,8,103,AP, ,Unknown,,1,,D,FR,NC,17,,,WI
726,WI,4,3,8,114,AP, ,Unknown,,1,,D,FR,NC,16,,,WA
727,WI,4,4,12,123,AP, ,Red Delicious,,1,,D,FR,NC,14,,,
728,WI,4,4,14,114,AP, ,Unknown,,1,,D,FR,NC,15,CA,,
729,WI,4,5,10,103,AP, ,Red Delicious,,1,,D,FR,NC,13,,,WI
730,WI,4,5,10,114,AP, ,Unknown,,1,,D,FR,NC,14,,,CA
731,WI,4,6,14,118,AP, ,Red Delicious,,1,,D,FR,NC,13,,WA,
732,WI,4,6,14,122,AP, ,Unknown,,1,,D,FR,NC,16,WA,,
733,WI,4,7,12,114,AP, ,Granny Smith,,1,,D,FR,NC,14,,,CA
734,WI,4,7,12,123,AP, ,Red Delicious,,1,,D,FR,NC,13,,,TX
735,WI,4,8,9,101,AP, ,Red Delicious,,1,,D,FR,NC,15,,,WA
736,WI,4,8,9,123,AP, ,Granny Smith,,1,,D,FR,NC,10,,,TX
737,WI,4,9,13,118,AP, ,Golden Delicious,,1,,D,FR,NC,14,,,WA
738,WI,4,9,13,119,AP, ,Red Delicious,,1,,D,FR,NC,12,,WA,
739,WI,4,10,11,103,AP, ,Red Delicious,,1,,D,FR,NC,15,,,WI
740,WI,4,10,11,119,AP, ,Red Delicious,,1,,D,FR,NC,13,,WA,
741,WI,4,11,8,101,AP, ,Red Delicious,,1,,D,FR,NC,14,,,WA
742,WI,4,11,8,123,AP, ,Granny Smith,,1,,D,FR,NC,12,,,TX
743,WI,4,12,13,108,AP, ,Red Delicious,,1,,D,FR,NC,15,,,WA
744,WI,4,12,13,118,AP, ,Granny Smith,,1,,D,FR,NC,14,,,WA
